"Nationality","HH.Income","AppStore","freq","perc"
"American","1","Android",18,0.782608695652174
"American","1","iOS",5,0.217391304347826
"American","2","Android",12,0.6
"American","2","iOS",8,0.4
"American","3","Android",19,0.655172413793103
"American","3","iOS",10,0.344827586206897
"American","4","Android",36,0.75
"American","4","iOS",12,0.25
"American","5","Android",19,0.59375
"American","5","iOS",13,0.40625
"American","6","Android",13,0.481481481481481
"American","6","iOS",14,0.518518518518518
"American","7","Android",6,0.6
"American","7","iOS",4,0.4
"American","8","Android",3,1
"American","9","Android",3,0.6
"American","9","iOS",2,0.4
"American","10","Android",1,0.333333333333333
"American","10","iOS",2,0.666666666666667
"American","11","iOS",4,1
"Australian","1","Android",3,0.6
"Australian","1","iOS",2,0.4
"Australian","2","Android",4,0.666666666666667
"Australian","2","iOS",2,0.333333333333333
"Australian","3","Android",17,0.607142857142857
"Australian","3","iOS",11,0.392857142857143
"Australian","4","Android",14,0.583333333333333
"Australian","4","iOS",10,0.416666666666667
"Australian","5","Android",13,0.565217391304348
"Australian","5","iOS",10,0.434782608695652
"Australian","6","Android",9,0.473684210526316
"Australian","6","iOS",10,0.526315789473684
"Australian","7","Android",13,0.5
"Australian","7","iOS",13,0.5
"Australian","8","Android",3,0.230769230769231
"Australian","8","iOS",10,0.769230769230769
"Australian","9","Android",2,1
"Australian","10","Android",1,0.333333333333333
"Australian","10","iOS",2,0.666666666666667
"Australian","11","iOS",1,1
"Brazillian","1","Android",50,0.793650793650794
"Brazillian","1","iOS",13,0.206349206349206
"Brazillian","2","Android",26,0.8125
"Brazillian","2","iOS",6,0.1875
"Brazillian","3","Android",16,0.727272727272727
"Brazillian","3","iOS",6,0.272727272727273
"Brazillian","4","Android",17,0.85
"Brazillian","4","iOS",3,0.15
"Brazillian","5","Android",12,0.923076923076923
"Brazillian","5","iOS",1,0.0769230769230769
"Brazillian","6","Android",12,1
"Brazillian","7","Android",10,0.833333333333333
"Brazillian","7","iOS",2,0.166666666666667
"Brazillian","8","Android",10,0.666666666666667
"Brazillian","8","iOS",5,0.333333333333333
"Brazillian","9","Android",3,0.5
"Brazillian","9","iOS",3,0.5
"Brazillian","10","Android",5,0.5
"Brazillian","10","iOS",5,0.5
"Brazillian","11","Android",3,0.5
"Brazillian","11","iOS",3,0.5
"British","1","Android",3,0.6
"British","1","iOS",2,0.4
"British","2","Android",6,0.75
"British","2","iOS",2,0.25
"British","3","Android",13,0.684210526315789
"British","3","iOS",6,0.315789473684211
"British","4","Android",9,0.473684210526316
"British","4","iOS",10,0.526315789473684
"British","5","Android",15,0.517241379310345
"British","5","iOS",14,0.482758620689655
"British","6","Android",9,0.45
"British","6","iOS",11,0.55
"British","7","Android",13,0.565217391304348
"British","7","iOS",10,0.434782608695652
"British","8","Android",4,0.266666666666667
"British","8","iOS",11,0.733333333333333
"British","9","Android",2,0.25
"British","9","iOS",6,0.75
"British","11","Android",1,1
"Canadian","1","Android",7,0.583333333333333
"Canadian","1","iOS",5,0.416666666666667
"Canadian","2","Android",12,0.571428571428571
"Canadian","2","iOS",9,0.428571428571429
"Canadian","3","Android",14,0.518518518518518
"Canadian","3","iOS",13,0.481481481481481
"Canadian","4","Android",23,0.522727272727273
"Canadian","4","iOS",21,0.477272727272727
"Canadian","5","Android",24,0.489795918367347
"Canadian","5","iOS",25,0.510204081632653
"Canadian","6","Android",30,0.588235294117647
"Canadian","6","iOS",21,0.411764705882353
"Canadian","7","Android",8,0.285714285714286
"Canadian","7","iOS",20,0.714285714285714
"Canadian","8","Android",1,0.166666666666667
"Canadian","8","iOS",5,0.833333333333333
"Canadian","9","iOS",2,1
"Canadian","10","iOS",1,1
"Chinese","1","Android",25,0.714285714285714
"Chinese","1","iOS",10,0.285714285714286
"Chinese","2","Android",12,0.8
"Chinese","2","iOS",3,0.2
"Chinese","3","Android",12,0.75
"Chinese","3","iOS",4,0.25
"Chinese","4","Android",11,0.733333333333333
"Chinese","4","iOS",4,0.266666666666667
"Chinese","5","Android",7,0.583333333333333
"Chinese","5","iOS",5,0.416666666666667
"Chinese","6","Android",11,0.611111111111111
"Chinese","6","iOS",7,0.388888888888889
"Chinese","7","Android",10,0.454545454545455
"Chinese","7","iOS",12,0.545454545454545
"Chinese","8","Android",11,0.333333333333333
"Chinese","8","iOS",22,0.666666666666667
"Chinese","9","Android",46,0.560975609756098
"Chinese","9","iOS",36,0.439024390243902
"Chinese","10","Android",25,0.409836065573771
"Chinese","10","iOS",36,0.590163934426229
"Chinese","11","Android",10,0.294117647058824
"Chinese","11","iOS",24,0.705882352941177
"French","1","Android",13,0.928571428571429
"French","1","iOS",1,0.0714285714285714
"French","2","Android",4,0.666666666666667
"French","2","iOS",2,0.333333333333333
"French","3","Android",9,0.6
"French","3","iOS",6,0.4
"French","4","Android",21,0.6
"French","4","iOS",14,0.4
"French","5","Android",9,0.75
"French","5","iOS",3,0.25
"French","6","Android",7,0.636363636363636
"French","6","iOS",4,0.363636363636364
"French","7","Android",3,0.375
"French","7","iOS",5,0.625
"French","8","Android",1,0.333333333333333
"French","8","iOS",2,0.666666666666667
"French","9","iOS",1,1
"French","10","Android",1,0.5
"French","10","iOS",1,0.5
"German","1","Android",18,0.947368421052632
"German","1","iOS",1,0.0526315789473684
"German","2","Android",12,0.857142857142857
"German","2","iOS",2,0.142857142857143
"German","3","Android",11,0.478260869565217
"German","3","iOS",12,0.521739130434783
"German","4","Android",7,0.636363636363636
"German","4","iOS",4,0.363636363636364
"German","5","Android",10,0.434782608695652
"German","5","iOS",13,0.565217391304348
"German","6","Android",7,0.583333333333333
"German","6","iOS",5,0.416666666666667
"German","7","Android",8,0.470588235294118
"German","7","iOS",9,0.529411764705882
"German","8","Android",3,0.428571428571429
"German","8","iOS",4,0.571428571428571
"German","9","Android",1,0.333333333333333
"German","9","iOS",2,0.666666666666667
"German","11","Android",1,0.5
"German","11","iOS",1,0.5
"Indian","1","Android",9,0.75
"Indian","1","iOS",3,0.25
"Indian","2","Android",2,1
"Indian","3","Android",5,1
"Indian","4","Android",5,0.833333333333333
"Indian","4","iOS",1,0.166666666666667
"Indian","5","Android",12,0.857142857142857
"Indian","5","iOS",2,0.142857142857143
"Indian","6","Android",9,0.75
"Indian","6","iOS",3,0.25
"Indian","7","Android",9,0.818181818181818
"Indian","7","iOS",2,0.181818181818182
"Indian","8","Android",8,0.888888888888889
"Indian","8","iOS",1,0.111111111111111
"Indian","9","Android",4,1
"Indian","10","Android",11,0.916666666666667
"Indian","10","iOS",1,0.0833333333333333
"Indian","11","Android",9,0.818181818181818
"Indian","11","iOS",2,0.181818181818182
"Italian","1","Android",5,0.625
"Italian","1","iOS",3,0.375
"Italian","2","Android",5,0.555555555555556
"Italian","2","iOS",4,0.444444444444444
"Italian","3","Android",12,0.8
"Italian","3","iOS",3,0.2
"Italian","4","Android",16,0.695652173913043
"Italian","4","iOS",7,0.304347826086957
"Italian","5","Android",16,0.666666666666667
"Italian","5","iOS",8,0.333333333333333
"Italian","6","Android",5,0.714285714285714
"Italian","6","iOS",2,0.285714285714286
"Italian","7","Android",3,0.333333333333333
"Italian","7","iOS",6,0.666666666666667
"Italian","8","Android",1,0.25
"Italian","8","iOS",3,0.75
"Italian","9","Android",3,1
"Japanese","1","Android",7,0.777777777777778
"Japanese","1","iOS",2,0.222222222222222
"Japanese","2","Android",2,0.5
"Japanese","2","iOS",2,0.5
"Japanese","3","Android",9,0.75
"Japanese","3","iOS",3,0.25
"Japanese","4","Android",4,0.666666666666667
"Japanese","4","iOS",2,0.333333333333333
"Japanese","5","Android",4,0.666666666666667
"Japanese","5","iOS",2,0.333333333333333
"Japanese","6","Android",5,1
"Japanese","7","Android",4,0.285714285714286
"Japanese","7","iOS",10,0.714285714285714
"Japanese","8","Android",8,0.666666666666667
"Japanese","8","iOS",4,0.333333333333333
"Japanese","9","iOS",2,1
"Mexican","1","Android",15,0.789473684210526
"Mexican","1","iOS",4,0.210526315789474
"Mexican","2","Android",13,0.928571428571429
"Mexican","2","iOS",1,0.0714285714285714
"Mexican","3","Android",8,0.615384615384615
"Mexican","3","iOS",5,0.384615384615385
"Mexican","4","Android",8,0.727272727272727
"Mexican","4","iOS",3,0.272727272727273
"Mexican","5","Android",5,0.625
"Mexican","5","iOS",3,0.375
"Mexican","6","Android",7,1
"Mexican","7","Android",5,1
"Mexican","8","Android",9,0.529411764705882
"Mexican","8","iOS",8,0.470588235294118
"Mexican","9","Android",3,0.333333333333333
"Mexican","9","iOS",6,0.666666666666667
"Mexican","10","iOS",4,1
"Mexican","11","Android",1,0.333333333333333
"Mexican","11","iOS",2,0.666666666666667
"Other","1","Android",26,0.722222222222222
"Other","1","iOS",10,0.277777777777778
"Other","2","Android",33,0.611111111111111
"Other","2","iOS",21,0.388888888888889
"Other","3","Android",13,0.541666666666667
"Other","3","iOS",11,0.458333333333333
"Other","4","Android",6,0.5
"Other","4","iOS",6,0.5
"Other","5","Android",5,0.454545454545455
"Other","5","iOS",6,0.545454545454545
"Other","6","Android",4,0.8
"Other","6","iOS",1,0.2
"Other","7","Android",3,0.428571428571429
"Other","7","iOS",4,0.571428571428571
"Other","8","Android",1,0.333333333333333
"Other","8","iOS",2,0.666666666666667
"Other","9","iOS",1,1
"Other","11","iOS",2,1
"Russian","1","Android",20,0.833333333333333
"Russian","1","iOS",4,0.166666666666667
"Russian","2","Android",19,0.863636363636364
"Russian","2","iOS",3,0.136363636363636
"Russian","3","Android",12,0.8
"Russian","3","iOS",3,0.2
"Russian","4","Android",8,0.8
"Russian","4","iOS",2,0.2
"Russian","5","Android",6,0.666666666666667
"Russian","5","iOS",3,0.333333333333333
"Russian","6","Android",3,0.75
"Russian","6","iOS",1,0.25
"Russian","7","Android",3,0.6
"Russian","7","iOS",2,0.4
"Russian","8","Android",5,0.833333333333333
"Russian","8","iOS",1,0.166666666666667
"Russian","9","Android",1,1
"SouthKorean","1","Android",76,0.873563218390805
"SouthKorean","1","iOS",11,0.126436781609195
"SouthKorean","2","Android",17,1
"SouthKorean","3","Android",4,1
"SouthKorean","4","Android",3,0.75
"SouthKorean","4","iOS",1,0.25
"SouthKorean","5","Android",6,0.857142857142857
"SouthKorean","5","iOS",1,0.142857142857143
"SouthKorean","6","Android",6,0.857142857142857
"SouthKorean","6","iOS",1,0.142857142857143
"SouthKorean","7","Android",4,0.8
"SouthKorean","7","iOS",1,0.2
"SouthKorean","8","Android",3,1
"SouthKorean","9","Android",1,1
"Spanish","1","Android",11,1
"Spanish","2","Android",18,1
"Spanish","3","Android",27,0.818181818181818
"Spanish","3","iOS",6,0.181818181818182
"Spanish","4","Android",18,0.9
"Spanish","4","iOS",2,0.1
"Spanish","5","Android",11,0.846153846153846
"Spanish","5","iOS",2,0.153846153846154
"Spanish","6","Android",5,0.833333333333333
"Spanish","6","iOS",1,0.166666666666667
"Spanish","7","Android",5,0.454545454545455
"Spanish","7","iOS",6,0.545454545454545
"Spanish","8","Android",1,0.5
"Spanish","8","iOS",1,0.5
"Spanish","9","Android",1,1
