"ID","AppStore","PriceSensitive","WhyDownload","Gender","Age","Nationality","Education","YearsEdu","Occupation","Currency","HH.Income"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","iOS","Yes",NA,"Male","21","American","5","16","Student","CNY","Prefer not to say"
"3","iOS","Yes",NA,"Male","23","Other","6","18","Student","Other","2"
"4","Android","Yes",NA,"Male","37","Italian","7","21","Edu, Trng & Lib","GBP","9"
"5","iOS",NA,"Papers","Male","30","Mexican","7","27","Life, Phys & Soc Sci","USD","4"
"6","iOS",NA,"navigation","Female","29","British","7","20","Life, Phys & Soc Sci","GBP","6"
"7","iOS","Yes","EagleEyes","Male","29","Other","5","16","Comp & Math","Other","2"
"8","Android","Yes",NA,"Male","31","Australian","5","20","Comp & Math","AUD","7"
"9","iOS","Yes","<U+82F1><U+8F9E><U+90CE>","Male","28","Japanese","7","22","Edu, Trng & Lib","JPY","4"
"10","None",NA,NA,"Female","31","Japanese","7","26","Edu, Trng & Lib","JPY","Prefer not to say"
"11","Android","Yes",NA,"Female","31","Australian","6","20","Off & Admin Sup","AUD","7"
"12","None",NA,NA,"Male","35","French","7","22","Comp & Math","JPY","8"
"13","Other",NA,"english upgrader","Female","41","Japanese","5","23","Off & Admin Sup","JPY","9"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Android",NA,"iAnnotate","Male","25","Japanese","6","19","Student","JPY","3"
"17","iOS",NA,NA,"Male","28","Other","5","18","Comp & Math","Other","1"
"18","Android","Yes","Cannot remember","Male","31","Chinese","5","16","Comp & Math","Other","2"
"19","iOS","Yes",NA,"Female","27","Other","6","18","Edu, Trng & Lib","Other","2"
"20","Android",NA,NA,"Female","22","British","5","17","Student","GBP","7"
"21","Android",NA,NA,"Female","27","Other","6","20","Comp & Math","EUR","6"
"22","Nokia","Yes","Home screen settings","Male","32","Italian","6","18","Comp & Math","Other","2"
"23","Android","Yes","-","Male","26","French","6","20","Student","EUR","1"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Android",NA,NA,"Male","42","Italian","7","21","Comp & Math","EUR","5"
"26","Android","Yes",NA,"Male","31","Italian","7","20","Comp & Math","EUR","Prefer not to say"
"27","iOS",NA,"the free apps","Female","28","Other","6","14","Arch & Eng","Other","2"
"28","Nokia",NA,NA,"Male","41","Italian","7","37","Edu, Trng & Lib","EUR","4"
"29","None",NA,NA,"Female","28","Italian","6","23","Student","EUR","3"
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","None",NA,NA,"Female","28","Italian","6","21","Comp & Math","EUR","2"
"32","None",NA,NA,"Male","27","Italian","6","22","Student","EUR","3"
"33","Android","Yes","jump (remote desktop)","Male","36","Italian","2","17","Comp & Math","EUR","5"
"34","Blackberry",NA,"translator","Female","29","Mexican","6","18","Student","EUR","2"
"35","None",NA,NA,"Female","16","British","2","12","Student","Other","2"
"36","Android","Yes",NA,"Male","26","Italian","6","21","Student","EUR","Prefer not to say"
"37","None",NA,NA,"Male","30","Other","7","18","Other","EUR","5"
"38","Android","Yes",NA,"Male","22","Italian","2","17","Sales","EUR","Prefer not to say"
"39","iOS",NA,NA,"Male","36","French","7","23","Life, Phys & Soc Sci","EUR","4"
"40","Android",NA,NA,"Male","30","Italian","6","25","Edu, Trng & Lib","EUR","5"
"41","Android","Yes","I don't know","Male","33","Other","7","20","Life, Phys & Soc Sci","Other","2"
"42","Android",NA,"Font pack for Office Suite","Male","54","Italian","7","30","Comp & Math","USD","Prefer not to say"
"43","None",NA,NA,"Male","42","Other","7","26","Edu, Trng & Lib","EUR","4"
"44","Android","Yes",NA,"Male","23","Other","5","18","Student","Other","2"
"45","Android",NA,NA,"Male","30","Other","7","20","Comp & Math","Other","1"
"46","Android","Yes","File Explorer","Male","29","Other","6","21","Student","CAD","2"
"47","None",NA,NA,"Male","37","Italian","7","25","Comp & Math","EUR","6"
"48","None",NA,NA,"Female","32","Other","6","18","Student","EUR","3"
"49","Android","Yes","Camera FV5","Male","29","Italian","7","23","Comp & Math","EUR","4"
"50","None",NA,NA,"Male","32","Chinese","6","26","Comp & Math","EUR","8"
"51","Android","Yes","SwiftKey Keyboard","Male","27","Italian","6","19","Comp & Math","EUR","3"
"52","iOS",NA,NA,"Female","23","Chinese","5","18","Student","GBP","3"
"53","Nokia","Yes",NA,"Female","24","Chinese","6","19","Edu, Trng & Lib","GBP","3"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","None",NA,NA,"Male","28","British","6","23","Student","GBP","1"
"56","iOS","Yes","HBR","Female","38","British","7","22","Comp & Math","GBP","Prefer not to say"
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Android",NA,"None","Male","30","Italian","6","13","Prsn Care & Svcs","EUR","4"
"59","Android","Yes",NA,"Male","26","Italian","6","20","Student","EUR","3"
